city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_type,last_new_job,training_hours,target
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Unknown,1,36,1.0
0.7759999999999999,Male,No relevant experience,No enrollment,Graduate,STEM,15,Pvt Ltd,5,47,0.0
0.624,Unknown,No relevant experience,Full time course,Graduate,STEM,5,Unknown,0,83,0.0
0.789,Unknown,No relevant experience,No enrollment,Graduate,Business Degree,0,Pvt Ltd,0,52,1.0
0.767,Male,Has relevant experience,No enrollment,Masters,STEM,21,Funded Startup,4,8,0.0
0.764,Unknown,Has relevant experience,Part time course,Graduate,STEM,11,Unknown,1,24,1.0
0.92,Male,Has relevant experience,No enrollment,High School,Other,5,Funded Startup,1,24,0.0
0.762,Male,Has relevant experience,No enrollment,Graduate,STEM,13,Pvt Ltd,5,18,1.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,7,Pvt Ltd,1,46,1.0
0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,17,Pvt Ltd,5,123,0.0
0.624,Unknown,No relevant experience,Full time course,High School,Other,2,Unknown,0,32,1.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,5,Pvt Ltd,1,108,0.0
0.913,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,3,23,0.0
0.624,Male,No relevant experience,No enrollment,Graduate,Other,2,Unknown,0,24,0.0
0.624,Unknown,No relevant experience,Full time course,High School,Other,5,Unknown,0,26,0.0
0.926,Male,Has relevant experience,No enrollment,Graduate,STEM,16,Pvt Ltd,5,18,0.0
0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,1,Pvt Ltd,0,106,0.0
0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,2,Pvt Ltd,2,7,0.0
0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,7,Pvt Ltd,0,23,1.0
0.8270000000000001,Female,Has relevant experience,No enrollment,Graduate,Arts,4,Unknown,1,132,1.0
0.843,Male,Has relevant experience,No enrollment,Masters,STEM,11,Pvt Ltd,1,68,0.0
0.926,Male,Has relevant experience,No enrollment,Masters,STEM,11,Pvt Ltd,2,50,0.0
0.804,Unknown,Has relevant experience,No enrollment,Masters,STEM,10,Unknown,1,48,0.0
0.7759999999999999,Male,Has relevant experience,No enrollment,Graduate,Humanities,0,Pvt Ltd,1,65,0.0
0.624,Unknown,Has relevant experience,No enrollment,Graduate,STEM,5,Pvt Ltd,1,13,0.0
0.855,Unknown,No relevant experience,No enrollment,High School,Other,4,Unknown,0,22,0.0
0.624,Unknown,Has relevant experience,Part time course,Graduate,STEM,14,Pvt Ltd,1,148,1.0
0.92,Male,Has relevant experience,No enrollment,Graduate,Arts,5,Unknown,2,72,0.0
0.887,Male,Has relevant experience,No enrollment,High School,Other,11,Pvt Ltd,1,8,1.0
0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,18,Funded Startup,2,68,1.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,3,40,0.0
0.92,Male,Has relevant experience,Part time course,Graduate,STEM,19,Pvt Ltd,5,141,0.0
0.92,Female,No relevant experience,Full time course,Graduate,STEM,5,Unknown,1,24,0.0
0.92,Female,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,5,82,0.0
0.91,Male,Has relevant experience,No enrollment,Graduate,Business Degree,12,Pvt Ltd,3,145,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,10,Early Stage Startup,2,206,0.0
0.926,Male,No relevant experience,Part time course,High School,Other,1,Other,1,152,0.0
0.926,Male,Has relevant experience,No enrollment,Phd,STEM,21,Pvt Ltd,4,42,1.0
0.92,Unknown,No relevant experience,No enrollment,Graduate,STEM,12,Unknown,4,50,0.0
0.884,Male,No relevant experience,No enrollment,Graduate,Other,3,Unknown,0,106,0.0
0.926,Female,Has relevant experience,Full time course,Masters,STEM,16,Public Sector,2,14,0.0
0.924,Male,Has relevant experience,No enrollment,High School,Other,4,Pvt Ltd,2,36,0.0
0.624,Unknown,Has relevant experience,No enrollment,Masters,STEM,6,Early Stage Startup,1,112,1.0
0.6659999999999999,Unknown,No relevant experience,No enrollment,Graduate,No Major,9,Pvt Ltd,0,108,0.0
0.624,Male,Has relevant experience,Part time course,Masters,STEM,9,Pvt Ltd,3,7,1.0
0.624,Female,No relevant experience,Full time course,Masters,STEM,5,Unknown,0,26,1.0
0.624,Male,Has relevant experience,No enrollment,Graduate,STEM,5,Pvt Ltd,0,87,1.0
0.92,Other,Has relevant experience,No enrollment,Graduate,STEM,19,Public Sector,4,52,1.0
0.5579999999999999,Male,Has relevant experience,No enrollment,Graduate,No Major,15,Unknown,5,20,1.0
0.923,Male,Has relevant experience,No enrollment,Graduate,STEM,11,Pvt Ltd,1,21,0.0
0.5579999999999999,Male,No relevant experience,No enrollment,Graduate,STEM,4,Unknown,1,92,1.0
0.6659999999999999,Male,Has relevant experience,No enrollment,Graduate,STEM,10,Pvt Ltd,2,102,0.0
0.794,Male,No relevant experience,No enrollment,Graduate,Humanities,5,Pvt Ltd,5,26,0.0
0.924,Unknown,Has relevant experience,No enrollment,Masters,STEM,3,Early Stage Startup,2,7,0.0
0.926,Male,No relevant experience,Full time course,High School,Other,4,Pvt Ltd,1,43,0.0
0.924,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,1,45,0.0
0.754,Male,Has relevant experience,Full time course,Graduate,STEM,2,Early Stage Startup,2,52,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Unknown,2,19,0.0
0.624,Unknown,Has relevant experience,Full time course,Graduate,STEM,2,Funded Startup,1,32,1.0
0.767,Male,Has relevant experience,No enrollment,Graduate,Humanities,21,Pvt Ltd,5,26,1.0
0.855,Male,Has relevant experience,Part time course,Graduate,STEM,6,Unknown,1,90,0.0
0.939,Male,Has relevant experience,No enrollment,Graduate,STEM,6,Pvt Ltd,3,25,0.0
0.8270000000000001,Unknown,Has relevant experience,No enrollment,Masters,STEM,13,Unknown,1,15,0.0
0.887,Male,Has relevant experience,No enrollment,Masters,Humanities,21,Pvt Ltd,5,48,0.0
0.55,Unknown,No relevant experience,Full time course,High School,Other,3,Unknown,1,98,0.0
0.865,Male,Has relevant experience,No enrollment,Graduate,STEM,10,Pvt Ltd,2,142,1.0
0.855,Other,No relevant experience,No enrollment,Masters,Humanities,4,Pvt Ltd,4,13,0.0
0.91,Male,Has relevant experience,No enrollment,Graduate,STEM,15,Unknown,5,47,0.0
0.91,Female,Has relevant experience,No enrollment,Masters,Humanities,14,Public Sector,1,28,0.0
0.698,Unknown,No relevant experience,No enrollment,Graduate,Other,2,Pvt Ltd,0,228,1.0
0.6659999999999999,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Unknown,4,22,0.0
0.624,Male,No relevant experience,Full time course,Graduate,STEM,0,Unknown,0,18,1.0
0.8270000000000001,Male,Has relevant experience,No enrollment,Graduate,STEM,2,Pvt Ltd,1,29,0.0
0.855,Male,Has relevant experience,No enrollment,Masters,STEM,5,Unknown,1,46,0.0
0.55,Unknown,No relevant experience,Full time course,Graduate,STEM,0,Unknown,0,12,0.0
0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,5,Pvt Ltd,2,17,0.0
0.893,Male,Has relevant experience,No enrollment,Masters,STEM,5,Pvt Ltd,2,65,0.0
0.92,Male,No relevant experience,No enrollment,Graduate,Humanities,3,Pvt Ltd,1,35,0.0
0.855,Male,No relevant experience,Full time course,Graduate,STEM,9,Pvt Ltd,3,14,0.0
0.92,Female,Has relevant experience,No enrollment,Masters,STEM,2,Early Stage Startup,1,4,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,15,Pvt Ltd,5,12,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,21,Pvt Ltd,2,108,0.0
0.92,Male,No relevant experience,No enrollment,Graduate,STEM,21,Unknown,1,136,0.0
0.92,Male,Has relevant experience,No enrollment,Graduate,STEM,5,Unknown,1,27,0.0
0.7959999999999999,Unknown,Has relevant experience,Part time course,Masters,STEM,4,Funded Startup,1,74,0.0
0.884,Male,Has relevant experience,No enrollment,Graduate,STEM,15,Early Stage Startup,1,86,0.0
0.866,Female,No relevant experience,Part time course,Graduate,STEM,0,Pvt Ltd,2,83,0.0
0.92,Unknown,No relevant experience,Full time course,High School,Other,4,Unknown,3,75,0.0
0.698,Male,No relevant experience,Full time course,Masters,STEM,11,Public Sector,2,42,0.0
0.92,Female,Has relevant experience,No enrollment,Graduate,STEM,6,Unknown,1,332,0.0
0.913,Male,No relevant experience,Full time course,Graduate,STEM,4,Unknown,1,140,0.0
0.91,Male,No relevant experience,No enrollment,High School,Other,3,Unknown,0,182,0.0
0.92,Female,No relevant experience,No enrollment,Graduate,Humanities,3,Pvt Ltd,1,13,1.0
0.682,Unknown,Has relevant experience,No enrollment,Graduate,STEM,5,Pvt Ltd,2,172,1.0
0.92,Unknown,Has relevant experience,No enrollment,Graduate,STEM,10,NGO,1,48,0.0
0.802,Male,Has relevant experience,Full time course,Graduate,STEM,9,Pvt Ltd,1,33,0.0
0.92,Unknown,No relevant experience,Full time course,High School,Other,2,Pvt Ltd,1,142,0.0
0.579,Unknown,No relevant experience,Full time course,Graduate,STEM,2,Pvt Ltd,1,34,0.0
0.802,Male,Has relevant experience,No enrollment,Graduate,STEM,6,Pvt Ltd,2,14,1.0
0.55,Male,Has relevant experience,No enrollment,Graduate,STEM,6,Pvt Ltd,2,27,1.0
0.55,Male,Has relevant experience,No enrollment,Graduate,STEM,8,Pvt Ltd,1,24,1.0
